RCDTS,District Name/ School Name,City,demSCHOOLlow,ISAT13,PSAE13,ACT13,LATITUDE,LONGITUDE
070161350021004,Orland Jr High School,Orland Park,13.70,71.3,,,41.619992,-87.863088
560992100160001,Lincoln-Way Central High School,New Lenox,13.70,,71.3,22.3,41.511595,-87.931582
560992100160004,Lincoln Way West,New Lenox,13.70,,70.8,22.5,41.495084,-88.001128
51084003A261002,Rochester Jr High School,Rochester,13.80,77.1,,,39.751431,-89.537869
060162040170001,Lyons Twp High Sch,La Grange,13.80,,74.5,23.6,41.812164,-87.879497
090100030260001,Mahomet-Seymour High School,Mahomet,13.80,,72,23.2,40.202509,-88.410117
150162990252739,Keller Gifted Magnet Elem School,Chicago,13.90,99.7,,,41.697108,-87.697107
190222050262004,Emerson Elem School,Elmhurst,13.90,79.8,,,41.888684,-87.959845
560991220022005,Nelson Ridge School,New Lenox,13.90,69.5,,,41.47907,-87.983868
431021220170001,Metamora High School,Metamora,13.90,,65,22.1,40.794544,-89.363276
480723220262002,Elmwood Elem School,Elmwood,14.00,75.8,,,40.782985,-89.969901
240320740032001,South Wilmington Grade School,South Wilmington,14.00,75.4,,,41.17364,-88.278007
190220580022014,Henry Puffer School,Downers Grove,14.00,70.8,,,41.797763,-88.037997
410570070260001,Edwardsville High School,Edwardsville,14.00,,70.6,23,38.78731,-89.977056
490813000262006,Taylor Ridge Elem School,Taylor Ridge,14.10,87.5,,,41.387601,-90.671771
190222040262012,Reba O Steck Elementary School,Aurora,14.10,83.4,,,41.747581,-88.256812
170640050262016,Prairieland Elementary School,Normal,14.20,82.3,,,40.531968,-88.967989
340490950262003,Seth Paine Elem School,Hawthorn Woods,14.20,81.7,,,42.212135403,-88.109801505
090103050160001,St Joseph-Ogden High School,Saint Joseph,14.20,,69.2,21.7,40.113247,-88.041735
190222040262023,Wayne Builta Elementary School,Bolingbrook,14.30,79.6,,,41.690684,-88.152136
410570070261001,Liberty Middle School,Edwardsville,14.30,78.1,,,38.781249,-89.925068
56099033C042005,Hadley Middle School,Homer Glen,14.30,74.2,,,41.602258,-87.926543
240470180160001,Newark Comm High School,Newark,14.30,,73.4,20.2,41.540932,-88.578812
480723230262003,Wilder-Waite Elem School,Peoria,14.40,77.6,,,40.809542,-89.636487
240471150262002,Circle Center Grade School,Yorkville,14.40,68.7,,,41.635542,-88.443866
310450460222037,Wayne Elem School,Wayne,14.50,82.2,,,41.951117,-88.24493
050160540042023,Adolph Link Elem School,Elk Grove Village,14.50,80,,,42.006757,-88.038463
51084003A262004,Rochester Intermediate School,Rochester,14.50,78.7,,,39.715672229,-89.503016411
030250500262002,Teutopolis Grade School,Teutopolis,14.50,76.8,,,39.132987,-88.470191
440630030031001,Fox River Grove Middle School,Fox River Grove,14.50,73.6,,,42.197232,-88.213955
170640050262014,Towanda Elem School,Towanda,14.50,67.6,,,40.563172,-88.895962
340492200262002,Hough Street Elem School,Barrington,14.60,89.9,,,42.152287,-88.136096
390550020261001,Maroa-Forsyth Middle School,Maroa,14.60,78.2,,,40.036354,-88.960654
070161350021005,Jerling Junior High School,Orland Park,14.60,72.3,,,41.616219,-87.835571
07016113A022004,River Valley School,Lemont,14.60,65.3,,,41.656695,-87.995835
560991220021006,Liberty Junior High School,New Lenox,14.60,63,,,41.533738,-87.966772
340491130170002,Highland Park High School,Highland Park,14.70,,77.5,25.2,42.192325,-87.801273
530907090260006,Morton High School,Morton,14.70,,77,24,40.611406,-89.454136
560991220022004,Nelson Prairie School,New Lenox,14.80,69.1,,,41.479673,-87.983891
340491210170001,Warren Township High School,Gurnee,14.80,,68.3,21.9,42.358008,-87.978352
050160260022003,Indian Grove Elem School,Mt Prospect,14.90,84.5,,,42.090472948,-87.898005195
150162990252376,Norwood Park Elem School,Chicago,15.00,80.9,,,41.988166,-87.802631
500820700042003,Freeburg Elem School,Freeburg,15.00,77.2,,,38.420601,-89.913802
310453010262004,Lily Lake Grade School,Maple Park,15.00,76.5,,,41.947452,-88.478425
240473080262014,Grande Park Elem Sch,Plainfield,15.10,81.4,,,41.640411,-88.272643
050160210042009,Henry W Longfellow Elem School,Buffalo Grove,15.10,80.5,,,42.145016,-87.984027
56099033C042003,Goodings Grove School,Homer Glen,15.10,71.6,,,41.629068,-87.933664
090101970042001,Prairieview-Ogden North Elem,Royal,15.20,84.8,,,40.1927,-87.9689
380540920042001,West Lincoln-Broadwell Elem Sch,Lincoln,15.20,78.1,,,40.15782,-89.40918
310453040262004,Harrison Street Elem School,Geneva,15.20,73.5,,,41.888755,-88.29281
310453010262003,Howard B Thomas Grade School,Burlington,15.20,72.8,,,42.018308,-88.479616
041011330041001,Willowbrook Middle School,South Beloit,15.30,75.8,,,42.471565,-88.987874
050160740021001,Lincoln Hall Middle School,Lincolnwood,15.30,72.6,,,42.005243,-87.728636
51084003A262005,Rochester Elem 2-3,Rochester,15.40,77.1,,,39.715672229,-89.503016411
070162300130003,Victor J Andrew High School,Orland Hills,15.40,,63.4,22.1,41.579679,-87.836243
240471150262008,Bristol Bay Elem Sch,Yorkville,15.50,64.6,,,41.712364,-88.432443
340490730042007,Hawthorn Aspen Elem School,Vernon Hills,15.60,85.6,,,42.23526,-87.972002
190222040262021,Nancy Young Elementary School,Aurora,15.60,79.8,,,41.76595,-88.250301
130140600022001,Germantown Elem School,Germantown,15.60,78.2,,,38.552779,-89.536707
170640050262009,Hudson Elem School,Hudson,15.60,72.6,,,40.605322,-88.989376
170640070261001,Lexington Jr High School,Lexington,15.70,80.2,,,40.645165043,-88.779671274
340491120022001,Elm Place School,Highland Park,15.70,76.7,,,42.189423,-87.797758
440630260042002,Briargate Elem School,Cary,15.70,75,,,42.207328,-88.251794
041011310041002,Roscoe Middle School,Roscoe,15.70,74.8,,,42.427761,-88.998049
530907090261005,Morton Jr High School,Morton,15.70,74.1,,,40.61291,-89.456448
310453020262010,Kaneland McDole Elem School,Montgomery,15.70,64.7,,,41.725863,-88.401041
56099200U260001,Beecher High School,Beecher,15.70,,54.1,21.5,41.345436,-87.623029
310453030260011,St Charles East High School,St Charles,15.80,,76.3,23,41.928479352,-88.283513991
150162990252249,Hawthorne Scholastic Academy ES,Chicago,15.90,91.6,,,41.940466,-87.657439
070161350022008,Liberty Elem School,Orland Park,15.90,77,,,41.616219,-87.834407
440630460031001,Prairie Grove Junior High School,Crystal Lake,15.90,75.6,,,42.259412,-88.261432
480723220261001,Elmwood Junior High School,Elmwood,15.90,74.1,,,40.78115,-89.97
190222050260003,York Comm High School,Elmhurst,15.90,,76.1,24.1,41.890348,-87.95292
050160650042015,Orrington Elem School,Evanston,16.00,82.4,,,42.065444,-87.679514
240471150262003,Yorkville Grade School,Yorkville,16.00,65.7,,,41.64923,-88.444148
560991140021001,Manhattan Jr High School,Manhattan,16.00,64.3,,,41.439138,-87.991375
440630470042010,Woods Creek Elementary School,Crystal Lake,16.10,79.7,,,42.199798,-88.359149
130141415022001,St Rose Elem School,Breese,16.10,73,,,38.684228,-89.55458
440630020032002,Spring Grove Elementary School,Spring Grove,16.10,71.1,,,42.443947,-88.236408
190222040262022,Arlene Welch Elementary School,Naperville,16.20,84.8,,,41.717839,-88.199325
190220410022004,Forest Glen Elem School,Glen Ellyn,16.20,81.4,,,41.888741,-88.064442
510840080262004,Farmingdale Elem School,Pleasant Plains,16.20,80.2,,,39.836264,-89.806048
240322010042003,Walnut Trails Elem School,Shorewood,16.20,76.5,,,41.516807,-88.231703
431020010042001,Metamora Grade School,Metamora,16.20,75.4,,,40.792624,-89.354066
490813000262003,Andalusia Elem School,Andalusia,16.20,67.1,,,41.438096,-90.717922
190222000261017,Edison Middle School,Wheaton,16.30,80.4,,,41.853493,-88.109269
340491120022005,Sherwood Elem School,Highland Park,16.30,74.3,,,42.165264,-87.820794
060160970022007,Abraham Lincoln Elem School,Oak Park,16.30,73.6,,,41.868178,-87.795657
530900510022004,Central Primary Sch,Washington,16.30,71.8,,,40.708977,-89.423283
560991220022002,Haines Elem School,New Lenox,16.30,70.3,,,41.518909,-87.970034
170640040260001,Heyworth Jr-Sr High School,Heyworth,16.30,63.9,56,21.2,40.311998,-88.976724
190222030260013,Naperville North High School,Naperville,16.30,,80.3,24.7,41.785805,-88.154565
530907090262003,Lincoln Elem School,Morton,16.40,86.4,,,40.60581,-89.445342
190220440022005,Wm Hammerschmidt Elem School,Lombard,16.50,84.9,,,41.874547,-88.012981
410570070262012,Albert Cassens Elementary,Glen Carbon,16.50,79.8,,,38.751249,-89.936042
440630260042005,Deer Path Elem School,Cary,16.50,77.2,,,42.234391,-88.235729
560992020222007,Wesmere Elementary School,Plainfield,16.50,61.7,,,41.554797,-88.216861
041011330042001,Prairie Hill Elem School,South Beloit,16.60,82.6,,,42.474524,-89.000087
560992020222014,Lincoln Elementary,Plainfield,16.60,74.6,,,41.614353,-88.230858
090101690041001,St Joseph Middle School,Saint Joseph,16.60,71.4,,,40.108139,-88.037528
510840050261002,Glenwood Middle School,Chatham,16.60,69.4,,,39.673461,-89.655964
560991220021005,Alex M Martino Jr High School,New Lenox,16.60,61,,,41.505228,-87.945319
190221080160001,Lake Park High School,Roselle,16.60,,70.9,22.3,41.989837,-88.047897
410570020262005,St Jacob Elem School,Saint Jacob,16.70,74.8,,,38.716829,-89.770414
050162140170004,John Hersey High School,Arlington Heights,16.80,,79.3,24.6,42.102726,-87.963694
150162990252087,Blaine Elem School,Chicago,16.90,87.8,,,41.950726,-87.664897
190220340022002,Winfield Central School,Winfield,16.90,83.9,,,41.874255,-88.157895
340490730042004,Hawthorn Elem School South,Vernon Hills,16.90,80.5,,,42.237755,-87.972354
150162990252053,Alcott Elem School,Chicago,16.90,80.1,,,41.930382,-87.646456
190222030262003,Elmwood Elem School,Naperville,17.00,73,,,41.754458,-88.148598
240473080262006,Old Post Elementary School,Oswego,17.10,84.6,,,41.705707,-88.330236
340492200261003,Barrington Middle Sch Station,Barrington,17.10,81,,,42.154095,-88.121513
340492200260004,Barrington High School,Barrington,17.10,,80.1,24.2,42.154901,-88.126102
160194320260003,Somonauk High School,Somonauk,17.10,,49.3,20.4,41.633747,-88.676655
050160150042004,Marion Jordan Elem School,Palatine,17.20,86.8,,,42.113535,-88.072889
050160150042006,Hunting Ridge Elem School,Palatine,17.20,84.1,,,42.095624,-88.070905
190220890042002,Briar Glen Elem School,Wheaton,17.20,80.2,,,41.838902,-88.085875
150162990252182,Ebinger Elem School,Chicago,17.20,79.5,,,42.004305,-87.810505
500821130022001,Wolf Branch Elem School,Swansea,17.20,66.3,,,38.556767,-89.989507
280372230262002,C R Hanna Elem School,Orion,17.20,65.3,,,41.350102,-90.373603
060162080170001,Riverside Brookfield Twp HS,Riverside,17.20,,69,22.6,41.828069,-87.828542
240473080262013,Wolfs Crossing Elem School,Aurora,17.30,76.9,,,41.694581,-88.255639
500820900042006,Delores Moye Elem School,O Fallon,17.40,77.3,,,38.622665,-89.888358
560991590021001,Mokena Jr High School,Mokena,17.40,63.2,,,41.529909,-87.865775
500820190260001,Mascoutah High School,Mascoutah,17.40,,72.2,21.9,38.496639,-89.819805
190222030262008,Maplebrook Elem School,Naperville,17.50,72,,,41.740185,-88.134096
190220990160001,Comm H S Dist 99 - North H S,Downers Grove,17.50,,74.4,23.6,41.80668,-88.011024
480721500251015,Washington Gifted School,Peoria,17.60,98,,,40.732992,-89.568507
440630460032001,Prairie Grove Elem School,Crystal Lake,17.60,70.1,,,42.259412,-88.261432
070161180041004,Palos South Middle School,Palos Park,17.70,82.6,,,41.654132,-87.820297
340492200261004,Barrington Mdle Sch- Prairie Cmps,Barrington,17.70,80.5,,,42.128608,-88.127759
050160700022003,Park View Elem School,Morton Grove,17.70,77.4,,,42.044459,-87.781014
530900510022001,Central Intermediate Sch,Washington,17.70,74.5,,,40.706343,-89.427731
560992020222015,Charles Reed Elementary Sch,Plainfield,17.70,65.2,,,41.551309,-88.267448
190222040262015,Gwendolyn Brooks Elementary,Aurora,17.80,82.6,,,41.788691,-88.250632
530903080160001,Washington Comm High School,Washington,17.80,,61.8,21.6,40.703434,-89.41952
150162990252384,Oriole Park Elem School,Chicago,17.90,87.9,,,41.978302,-87.811897
130140630022001,Albers Elem School,Albers,17.90,82.9,,,38.544521,-89.613453
480723230262005,Ridgeview Elementary School,Peoria,17.90,80.5,,,40.786349,-89.653943
390740250262006,Washington School,Monticello,17.90,71,,,40.019647,-88.571906
320380060260001,Cissna Park Sr High School,Cissna Park,17.90,,72.6,21,40.569768,-87.893006
070161350022007,Prairie Elem School,Orland Park,18.00,85.6,,,41.632641,-87.81978
070161240022005,Southwest Elem School,Evergreen Park,18.00,72.7,,,41.713265,-87.711405
510840050262005,Glenwood Intermediate Sch,Chatham,18.00,69.8,,,39.673521,-89.652386
190220580022002,El Sierra Elem School,Downers Grove,18.00,69.7,,,41.762624,-88.000252
390550030260001,Mt Zion High School,Mount Zion,18.00,,77.1,22.2,39.770849,-88.874336
560992050170001,Lockport Township High Sch East,Lockport,18.00,,60.8,21.8,41.590425,-88.029151
280372260260001,Annawan High School,Annawan,18.00,,54.4,22.2,41.394091,-89.911398
560991220022010,Arnold J Tyler School,New Lenox,18.10,59.8,,,41.497785,-87.955093
170640070260002,Lexington High School,Lexington,18.10,,58.3,21.5,40.645165043,-88.779671274
050160310021001,Field School,Northbrook,18.20,76.9,,,42.115299,-87.858549
041011310042001,Kinnikinnick School,Roscoe,18.20,74,,,42.420032,-89.011889
510840050262004,Chatham Elem School,Chatham,18.20,69.5,,,39.670316,-89.708599
440630120260002,Johnsburg High School,Johnsburg,18.20,,59.6,20.5,42.401333,-88.235584
56099207U260001,Peotone High School,Peotone,18.20,,58.4,20.5,41.334003,-87.80278
490813000260001,Rockridge High School,Taylor Ridge,18.20,,55.9,20.3,41.386583,-90.765334
350500820042001,Deer Park C C Elem School,Ottawa,18.30,82.2,,,41.268969,-88.96674
310453030261012,Wredling Middle School,St Charles,18.30,80.4,,,41.92981611,-88.282776101
440630260041004,Cary Jr High School,Cary,18.30,76.6,,,42.234378,-88.234517
480723090262002,Brimfield Grade School,Brimfield,18.30,73.7,,,40.841273,-89.882514
480723280032001,Hollis Consolidated Grade Sch,Peoria,18.30,68.3,,,40.609668,-89.682595
310453020261001,Harter Middle School,Sugar Grove,18.30,67.9,,,41.795646,-88.459122
130140030260006,Wesclin Sr High School,Trenton,18.30,,66.3,21.5,38.568043,-89.686747
190220890041003,Glen Crest Middle School,Glen Ellyn,18.40,77.9,,,41.852063,-88.055893
490813000261002,Rockridge Jr High School,Taylor Ridge,18.40,65.1,,,41.386583,-90.765334
310453020260001,Kaneland Senior High School,Maple Park,18.40,,68.6,21.1,41.880341,-88.527648
050160340042001,Glen Grove Elem School,Glenview,18.50,87.5,,,42.073129,-87.853377
190220890042006,Westfield Elem School,Glen Ellyn,18.50,75.7,,,41.843097,-88.045164
