RCDTS,School,City,demSCHOOLlow,ISAT13,PSAE13,ACT13,LATITUDE,LONGITUDE
460691170222001,Eisenhower Elem School,Jacksonville,36.10,72.5,,,39.73758,-90.265479
330482100261001,Williamsfield Middle School,Williamsfield,36.10,56.3,,,40.926695,-90.023102
050162140170002,Elk Grove High School,Elk Grove Village,36.10,,64.1,22,42.007358,-87.982679
080432050262002,Warren Elementary School,Warren,36.20,71.8,,,42.494626,-89.989459
310451290222006,Goodwin Elem School,North Aurora,36.20,68.7,,,41.80489,-88.341417
080431190222002,East Dubuque Elem School,East Dubuque,36.20,67.8,,,42.497394,-90.637994
160194300262003,Lynn G Haskin Elementary School,Sandwich,36.20,63.6,,,41.639386,-88.620177
120800020261002,West Richland Jr High School,Noble,36.20,50,,,38.698684,-88.21793
340491240160001,Grant Community High School,Fox Lake,36.20,,61.3,20,42.394052,-88.158842
190222000262002,Hawthorne Elem School,Wheaton,36.30,63.3,,,41.878818,-88.102686
500820600262001,New Athens Elem,New Athens,36.30,52.3,,,38.317215,-89.86799
530900980022001,Rankin Elem School,Pekin,36.30,50.2,,,40.521254,-89.645071
170534260042001,Cornell Elem School,Cornell,36.30,49.2,,,40.991163,-88.728089
120510200260008,Lawrenceville High School,Lawrenceville,36.30,,47.6,19.6,38.731007,-87.679199
150162990252283,Jackson  A Elem Language Acad,Chicago,36.40,87.9,,,41.874319,-87.660093
160194250262002,Shabbona Elem School,Shabbona,36.40,67,,,41.766972,-88.873613
431020210260001,Lowpoint-Washburn Jr Sr High Sch,Washburn,36.40,63.4,57.5,19.6,40.918714,-89.282274
320460530021001,Bourbonnais Upper Grade Center,Bourbonnais,36.40,53.8,,,41.165709,-87.878144
110230030260001,Kansas High School,Kansas,36.40,53.2,65,19.4,39.550998,-87.939495
040041000260002,Belvidere North High Sch,Belvidere,36.40,,52.1,19.9,42.288437,-88.865222
200962250160001,Fairfield Comm High School,Fairfield,36.40,,48.9,19.3,38.375189,-88.363467
320460060262002,Grant Park Elem School,Grant Park,36.50,74.2,,,41.241127,-87.649801
340490460042006,Prairieview School,Hainesville,36.50,71,,,42.344621,-88.065105
