ZipCode,FY11Total,FY13Total,Chge11num,PChg2011,Chg2011,PChg2011
62253,"$124,702 ","$132,203 ",7501,6,"$7,501.00",6.00%
62236,"$2,722,530 ","$2,890,501 ",167971,6.2,"$167,971.00",6.20%
62964,"$398,041 ","$423,132 ",25091,6.3,"$25,091.00",6.30%
62262,"$147,401 ","$156,798 ",9397,6.4,"$9,397.00",6.40%
62914,"$920,942 ","$980,226 ",59284,6.4,"$59,284.00",6.40%
60602,"$5,966,031 ","$6,346,732 ",380701,6.4,"$380,701.00",6.40%
61490,"$175,821 ","$187,263 ",11442,6.5,"$11,442.00",6.50%
60409,"$13,420,514 ","$14,295,985 ",875471,6.5,"$875,471.00",6.50%
61501,"$369,512 ","$394,078 ",24566,6.6,"$24,566.00",6.60%
60097,"$1,184,753 ","$1,264,326 ",79573,6.7,"$79,573.00",6.70%
60475,"$2,830,219 ","$3,023,906 ",193687,6.8,"$193,687.00",6.80%
60628,"$22,345,376 ","$23,883,290 ",1537914,6.9,"$1,537,914.00",6.90%
62926,"$156,728 ","$167,629 ",10901,7,"$10,901.00",7.00%
62846,"$305,350 ","$326,872 ",21522,7,"$21,522.00",7.00%
60064,"$5,833,535 ","$6,241,336 ",407801,7,"$407,801.00",7.00%
60004,"$5,669,465 ","$6,063,986 ",394521,7,"$394,521.00",7.00%
62694,"$484,878 ","$519,555 ",34677,7.2,"$34,677.00",7.20%
60538,"$3,752,219 ","$4,027,507 ",275288,7.3,"$275,288.00",7.30%
60637,"$7,971,283 ","$8,557,829 ",586546,7.4,"$586,546.00",7.40%
62009,"$491,422 ","$528,458 ",37036,7.5,"$37,036.00",7.50%
61486,"$222,783 ","$239,449 ",16666,7.5,"$16,666.00",7.50%
62513,"$250,549 ","$269,343 ",18794,7.5,"$18,794.00",7.50%
60461,"$1,285,710 ","$1,381,909 ",96199,7.5,"$96,199.00",7.50%
62263,"$1,226,428 ","$1,319,657 ",93229,7.6,"$93,229.00",7.60%
61074,"$979,762 ","$1,054,727 ",74965,7.7,"$74,965.00",7.70%
60104,"$7,457,357 ","$8,033,817 ",576460,7.7,"$576,460.00",7.70%
61101,"$5,129,034 ","$5,535,080 ",406046,7.9,"$406,046.00",7.90%
61924,"$104,576 ","$113,067 ",8491,8.1,"$8,491.00",8.10%
62203,"$1,173,045 ","$1,268,406 ",95361,8.1,"$95,361.00",8.10%
61604,"$7,376,164 ","$7,974,817 ",598653,8.1,"$598,653.00",8.10%
61089,"$52,351 ","$56,674 ",4323,8.3,"$4,323.00",8.30%
61552,"$142,888 ","$154,927 ",12039,8.4,"$12,039.00",8.40%
62510,"$259,254 ","$281,264 ",22010,8.5,"$22,010.00",8.50%
61317,"$92,561 ","$100,552 ",7991,8.6,"$7,991.00",8.60%
60942,"$1,244,756 ","$1,351,784 ",107028,8.6,"$107,028.00",8.60%
62288,"$447,721 ","$486,562 ",38841,8.7,"$38,841.00",8.70%
61046,"$190,602 ","$208,482 ",17880,9.4,"$17,880.00",9.40%
60490,"$477,155 ","$522,754 ",45599,9.6,"$45,599.00",9.60%
62037,"$276,410 ","$303,112 ",26702,9.7,"$26,702.00",9.70%
62808,"$214,468 ","$235,535 ",21067,9.8,"$21,067.00",9.80%
62233,"$1,015,861 ","$1,116,154 ",100293,9.9,"$100,293.00",9.90%
61425,"$472,254 ","$519,331 ",47077,10,"$47,077.00",10.00%
61725,"$123,851 ","$136,458 ",12607,10.2,"$12,607.00",10.20%
60137,"$3,597,810 ","$3,965,750 ",367940,10.2,"$367,940.00",10.20%
60190,"$1,394,261 ","$1,537,939 ",143678,10.3,"$143,678.00",10.30%
60163,"$2,321,824 ","$2,562,729 ",240905,10.4,"$240,905.00",10.40%
62477,"$32,525 ","$35,959 ",3434,10.6,"$3,434.00",10.60%
60482,"$2,651,626 ","$2,932,892 ",281266,10.6,"$281,266.00",10.60%
62628,"$92,251 ","$102,147 ",9896,10.7,"$9,896.00",10.70%
62863,"$1,058,040 ","$1,170,861 ",112821,10.7,"$112,821.00",10.70%
62047,"$131,568 ","$145,746 ",14178,10.8,"$14,178.00",10.80%
62367,"$71,452 ","$79,199 ",7747,10.8,"$7,747.00",10.80%
62274,"$914,661 ","$1,013,651 ",98990,10.8,"$98,990.00",10.80%
60617,"$19,718,908 ","$21,853,246 ",2134338,10.8,"$2,134,338.00",10.80%
60970,"$1,111,855 ","$1,234,049 ",122194,11,"$122,194.00",11.00%
60192,"$969,469 ","$1,077,025 ",107556,11.1,"$107,556.00",11.10%
62257,"$508,828 ","$565,602 ",56774,11.2,"$56,774.00",11.20%
60130,"$7,200,189 ","$8,008,828 ",808639,11.2,"$808,639.00",11.20%
62379,"$119,901 ","$133,412 ",13511,11.3,"$13,511.00",11.30%
62347,"$265,110 ","$295,286 ",30176,11.4,"$30,176.00",11.40%
61846,"$427,796 ","$476,402 ",48606,11.4,"$48,606.00",11.40%
60041,"$1,309,013 ","$1,458,716 ",149703,11.4,"$149,703.00",11.40%
60630,"$15,838,315 ","$17,651,659 ",1813344,11.4,"$1,813,344.00",11.40%
60194,"$6,767,748 ","$7,542,680 ",774932,11.5,"$774,932.00",11.50%
62326,"$198,709 ","$221,842 ",23133,11.6,"$23,133.00",11.60%
60136,"$507,056 ","$566,164 ",59108,11.7,"$59,108.00",11.70%
60910,"$440,468 ","$492,878 ",52410,11.9,"$52,410.00",11.90%
60466,"$4,771,660 ","$5,338,544 ",566884,11.9,"$566,884.00",11.90%
61201,"$4,535,682 ","$5,080,853 ",545171,12,"$545,171.00",12.00%
60426,"$10,836,017 ","$12,133,384 ",1297367,12,"$1,297,367.00",12.00%
62061,"$190,485 ","$213,497 ",23012,12.1,"$23,012.00",12.10%
60541,"$443,844 ","$497,620 ",53776,12.1,"$53,776.00",12.10%
62618,"$1,605,048 ","$1,799,416 ",194368,12.1,"$194,368.00",12.10%
61878,"$274,801 ","$308,285 ",33484,12.2,"$33,484.00",12.20%
62258,"$1,346,428 ","$1,511,288 ",164860,12.2,"$164,860.00",12.20%
60534,"$3,021,061 ","$3,392,208 ",371147,12.3,"$371,147.00",12.30%
62301,"$5,822,010 ","$6,544,009 ",721999,12.4,"$721,999.00",12.40%
60609,"$17,541,316 ","$19,728,266 ",2186950,12.5,"$2,186,950.00",12.50%
62441,"$799,688 ","$900,980 ",101292,12.7,"$101,292.00",12.70%
60131,"$5,957,859 ","$6,726,724 ",768865,12.9,"$768,865.00",12.90%
62424,"$133,217 ","$150,536 ",17319,13,"$17,319.00",13.00%
60652,"$11,633,765 ","$13,140,583 ",1506818,13,"$1,506,818.00",13.00%
60146,"$402,073 ","$454,600 ",52527,13.1,"$52,527.00",13.10%
60406,"$4,380,097 ","$4,952,709 ",572612,13.1,"$572,612.00",13.10%
62034,"$1,010,444 ","$1,144,867 ",134423,13.3,"$134,423.00",13.30%
60150,"$185,763 ","$210,855 ",25092,13.5,"$25,092.00",13.50%
62626,"$810,759 ","$920,354 ",109595,13.5,"$109,595.00",13.50%
61801,"$2,436,333 ","$2,765,625 ",329292,13.5,"$329,292.00",13.50%
60202,"$6,013,340 ","$6,828,025 ",814685,13.5,"$814,685.00",13.50%
60444,"$347,840 ","$395,417 ",47577,13.7,"$47,577.00",13.70%
62205,"$2,302,518 ","$2,617,947 ",315429,13.7,"$315,429.00",13.70%
60706,"$11,769,231 ","$13,393,394 ",1624163,13.8,"$1,624,163.00",13.80%
60629,"$16,143,026 ","$18,363,539 ",2220513,13.8,"$2,220,513.00",13.80%
61603,"$2,868,041 ","$3,265,298 ",397257,13.9,"$397,257.00",13.90%
61252,"$594,973 ","$679,233 ",84260,14.2,"$84,260.00",14.20%
