FID_,ZCTA5CE10,GEOID10,CLASSFP10,MTFCC10,FUNCSTAT10,ALAND10,AWATER10,INTPTLAT10,INTPTLON10,zips,sum_Trump,count_Trump,sum_Cruz,count_Cruz,sum_rubio,count_rubio,sum_Kasich,count_Kasich,Most_Sum
,60532,60532,B5,G6350,S,23142410.000000000000000,687630.000000000000000,+41.7894426,-088.0839844,60532,0.000000000000000,0.000000000000000,2875.000000000000000,17.000000000000000,750.000000000000000,2.000000000000000,50.000000000000000,1.000000000000000,Cruz
,60540,60540,B5,G6350,S,34185388.000000000000000,544108.000000000000000,+41.7646702,-088.1454278,60540,250.000000000000000,1.000000000000000,1890.000000000000000,13.000000000000000,5850.000000000000000,7.000000000000000,500.000000000000000,1.000000000000000,Rubio
,60542,60542,B5,G6350,S,24319544.000000000000000,618148.000000000000000,+41.8096264,-088.3525727,60542,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,458.000000000000000,18.000000000000000,0.000000000000000,0.000000000000000,Rubio
,60554,60554,B5,G6350,S,92383636.000000000000000,259694.000000000000000,+41.7766836,-088.4570615,60554,431.420000000000020,2.000000000000000,1105.000000000000000,19.000000000000000,5600.000000000000000,8.000000000000000,75.000000000000000,2.000000000000000,Rubio
,60555,60555,B5,G6350,S,17829248.000000000000000,619109.000000000000000,+41.8221671,-088.1807734,60555,328.639999999999990,2.000000000000000,908.000000000000000,13.000000000000000,2689.000000000000000,16.000000000000000,0.000000000000000,0.000000000000000,Rubio
,60563,60563,B5,G6350,S,39299008.000000000000000,1173168.000000000000000,+41.7901464,-088.2038293,60563,209.690000000000000,1.000000000000000,275.000000000000000,4.000000000000000,700.000000000000000,12.000000000000000,0.000000000000000,0.000000000000000,Rubio
,60564,60564,B5,G6350,S,41651963.000000000000000,426128.000000000000000,+41.7060733,-088.1953940,60564,250.000000000000000,1.000000000000000,1445.000000000000000,12.000000000000000,0.000000000000000,0.000000000000000,2400.000000000000000,2.000000000000000,Kasich
,60565,60565,B5,G6350,S,32284812.000000000000000,355371.000000000000000,+41.7307292,-088.1243363,60565,563.490000000000010,3.000000000000000,1085.000000000000000,12.000000000000000,350.000000000000000,2.000000000000000,0.000000000000000,0.000000000000000,Cruz
,60177,60177,B5,G6350,S,22130484.000000000000000,839671.000000000000000,+41.9884809,-088.3101670,60177,0.000000000000000,0.000000000000000,320.000000000000000,3.000000000000000,0.000000000000000,0.000000000000000,2700.000000000000000,1.000000000000000,Kasich
,60181,60181,B5,G6350,S,17107163.000000000000000,213358.000000000000000,+41.8768971,-087.9763283,60181,600.000000000000000,2.000000000000000,280.000000000000000,5.000000000000000,5400.000000000000000,2.000000000000000,0.000000000000000,0.000000000000000,Rubio
,60184,60184,B5,G6350,S,21019818.000000000000000,739238.000000000000000,+41.9515020,-088.2531704,60184,0.000000000000000,0.000000000000000,1228.000000000000000,8.000000000000000,175.000000000000000,7.000000000000000,5400.000000000000000,2.000000000000000,Kasich
,60069,60069,B5,G6350,S,17566053.000000000000000,417864.000000000000000,+42.1965942,-087.9247044,60069,0.000000000000000,0.000000000000000,667.000000000000000,5.000000000000000,200.000000000000000,1.000000000000000,2750.000000000000000,4.000000000000000,Kasich
,60070,60070,B5,G6350,S,9329364.000000000000000,75022.000000000000000,+42.1036632,-087.9289718,60070,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,None
,60073,60073,B5,G6350,S,53109701.000000000000000,2477320.000000000000000,+42.3488243,-088.1095812,60073,0.000000000000000,0.000000000000000,575.000000000000000,8.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,Cruz
,60074,60074,B5,G6350,S,18454811.000000000000000,324299.000000000000000,+42.1314623,-088.0263289,60074,0.000000000000000,0.000000000000000,3201.500000000000000,24.000000000000000,200.000000000000000,1.000000000000000,0.000000000000000,0.000000000000000,Cruz
,60084,60084,B5,G6350,S,37839115.000000000000000,2528742.000000000000000,+42.2696688,-088.1409115,60084,200.000000000000000,2.000000000000000,450.000000000000000,3.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,Cruz
,60089,60089,B5,G6350,S,25262345.000000000000000,81919.000000000000000,+42.1672308,-087.9640630,60089,0.000000000000000,0.000000000000000,2357.000000000000000,16.000000000000000,3400.000000000000000,7.000000000000000,250.000000000000000,1.000000000000000,Rubio
,60090,60090,B5,G6350,S,24323156.000000000000000,154281.000000000000000,+42.1296141,-087.9215028,60090,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,None
,60101,60101,B5,G6350,S,29880923.000000000000000,854569.000000000000000,+41.9305155,-088.0169373,60101,265.430000000000010,1.000000000000000,330.000000000000000,5.000000000000000,0.000000000000000,0.000000000000000,2000.000000000000000,1.000000000000000,Kasich
,60102,60102,B5,G6350,S,37543889.000000000000000,929652.000000000000000,+42.1651647,-088.3087678,60102,0.000000000000000,0.000000000000000,131.000000000000000,1.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,Cruz
,60103,60103,B5,G6350,S,49711646.000000000000000,898269.000000000000000,+41.9805463,-088.2047613,60103,0.000000000000000,0.000000000000000,500.000000000000000,10.000000000000000,44.000000000000000,3.000000000000000,0.000000000000000,0.000000000000000,Cruz
,60106,60106,B5,G6350,S,23220266.000000000000000,260785.000000000000000,+41.9597007,-087.9418346,60106,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,2700.000000000000000,1.000000000000000,Kasich
,60107,60107,B5,G6350,S,20647298.000000000000000,86801.000000000000000,+42.0205861,-088.1777706,60107,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,3420.000000000000000,3.000000000000000,0.000000000000000,0.000000000000000,Rubio
,60108,60108,B5,G6350,S,18760319.000000000000000,781823.000000000000000,+41.9500216,-088.0918650,60108,0.000000000000000,0.000000000000000,4800.000000000000000,21.000000000000000,150.000000000000000,2.000000000000000,0.000000000000000,0.000000000000000,Cruz
,60110,60110,B5,G6350,S,23118853.000000000000000,552209.000000000000000,+42.1146868,-088.2918660,60110,0.000000000000000,0.000000000000000,530.000000000000000,13.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,Cruz
,60021,60021,B5,G6350,S,5675594.000000000000000,362694.000000000000000,+42.1946970,-088.2171083,60021,0.000000000000000,0.000000000000000,50.000000000000000,1.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,Cruz
