GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:
1500000US170310206021,170310206021,"Block Group 1, Census Tract 206.02, Cook County, Illinois",864,260
1500000US170310206022,170310206022,"Block Group 2, Census Tract 206.02, Cook County, Illinois",136,76
1500000US170310206023,170310206023,"Block Group 3, Census Tract 206.02, Cook County, Illinois",464,276
1500000US170310206024,170310206024,"Block Group 4, Census Tract 206.02, Cook County, Illinois",721,250
1500000US170310207011,170310207011,"Block Group 1, Census Tract 207.01, Cook County, Illinois",544,102
1500000US170310207012,170310207012,"Block Group 2, Census Tract 207.01, Cook County, Illinois",784,270
1500000US170310207021,170310207021,"Block Group 1, Census Tract 207.02, Cook County, Illinois",1596,774
1500000US170310207022,170310207022,"Block Group 2, Census Tract 207.02, Cook County, Illinois",2017,886
1500000US170310207023,170310207023,"Block Group 3, Census Tract 207.02, Cook County, Illinois",851,468
1500000US170310207024,170310207024,"Block Group 4, Census Tract 207.02, Cook County, Illinois",715,505
1500000US170310208011,170310208011,"Block Group 1, Census Tract 208.01, Cook County, Illinois",683,245
1500000US170310208012,170310208012,"Block Group 2, Census Tract 208.01, Cook County, Illinois",850,338
1500000US170310208013,170310208013,"Block Group 3, Census Tract 208.01, Cook County, Illinois",507,251
1500000US170310208014,170310208014,"Block Group 4, Census Tract 208.01, Cook County, Illinois",891,327
1500000US170310208021,170310208021,"Block Group 1, Census Tract 208.02, Cook County, Illinois",709,777
1500000US170310208022,170310208022,"Block Group 2, Census Tract 208.02, Cook County, Illinois",456,282
1500000US170310208023,170310208023,"Block Group 3, Census Tract 208.02, Cook County, Illinois",810,427
1500000US170310208024,170310208024,"Block Group 4, Census Tract 208.02, Cook County, Illinois",1024,600
1500000US170310209011,170310209011,"Block Group 1, Census Tract 209.01, Cook County, Illinois",755,246
1500000US170310209012,170310209012,"Block Group 2, Census Tract 209.01, Cook County, Illinois",460,201
1500000US170310209013,170310209013,"Block Group 3, Census Tract 209.01, Cook County, Illinois",1235,462
1500000US170310209021,170310209021,"Block Group 1, Census Tract 209.02, Cook County, Illinois",1486,351
1500000US170310209022,170310209022,"Block Group 2, Census Tract 209.02, Cook County, Illinois",1087,281
1500000US170310301011,170310301011,"Block Group 1, Census Tract 301.01, Cook County, Illinois",546,208
1500000US170310301012,170310301012,"Block Group 2, Census Tract 301.01, Cook County, Illinois",271,162
1500000US170310301013,170310301013,"Block Group 3, Census Tract 301.01, Cook County, Illinois",597,214
1500000US170310301014,170310301014,"Block Group 4, Census Tract 301.01, Cook County, Illinois",988,303
1500000US170310301021,170310301021,"Block Group 1, Census Tract 301.02, Cook County, Illinois",756,181
1500000US170310301022,170310301022,"Block Group 2, Census Tract 301.02, Cook County, Illinois",605,243
1500000US170310301023,170310301023,"Block Group 3, Census Tract 301.02, Cook County, Illinois",539,206
1500000US170310301031,170310301031,"Block Group 1, Census Tract 301.03, Cook County, Illinois",543,203
1500000US170310301032,170310301032,"Block Group 2, Census Tract 301.03, Cook County, Illinois",782,318
1500000US170310301041,170310301041,"Block Group 1, Census Tract 301.04, Cook County, Illinois",1928,338
1500000US170310301042,170310301042,"Block Group 2, Census Tract 301.04, Cook County, Illinois",151,74
1500000US170310302001,170310302001,"Block Group 1, Census Tract 302, Cook County, Illinois",1041,232
1500000US170310302002,170310302002,"Block Group 2, Census Tract 302, Cook County, Illinois",923,194
1500000US170310302003,170310302003,"Block Group 3, Census Tract 302, Cook County, Illinois",942,239
1500000US170310302004,170310302004,"Block Group 4, Census Tract 302, Cook County, Illinois",1566,561
1500000US170310303001,170310303001,"Block Group 1, Census Tract 303, Cook County, Illinois",842,304
1500000US170310303002,170310303002,"Block Group 2, Census Tract 303, Cook County, Illinois",1167,262
1500000US170310304001,170310304001,"Block Group 1, Census Tract 304, Cook County, Illinois",1188,217
1500000US170310304002,170310304002,"Block Group 2, Census Tract 304, Cook County, Illinois",786,179
1500000US170310305001,170310305001,"Block Group 1, Census Tract 305, Cook County, Illinois",1090,402
1500000US170310305002,170310305002,"Block Group 2, Census Tract 305, Cook County, Illinois",1359,306
1500000US170310305003,170310305003,"Block Group 3, Census Tract 305, Cook County, Illinois",1309,436
1500000US170310305004,170310305004,"Block Group 4, Census Tract 305, Cook County, Illinois",1330,334
1500000US170310306011,170310306011,"Block Group 1, Census Tract 306.01, Cook County, Illinois",497,194
1500000US170310306012,170310306012,"Block Group 2, Census Tract 306.01, Cook County, Illinois",608,310
